Movie Name,Release Date,Rating,Director,Link
Trainspotting,1996,8.1,"Aamir Khan, Amole Gupte (uncredited)",https://www.imdb.com/title/tt0986264/?ref_=adv_li_tt
The Elephant Man,1980,8.1,"Aamir Khan, Amole Gupte (uncredited)",https://www.imdb.com/title/tt0986264/?ref_=adv_li_tt
Andhadhun,2018,8.1,Richard Marquand,https://www.imdb.com/title/tt0086190/?ref_=adv_li_tt
The Sixth Sense,1999,8.1,Richard Marquand,https://www.imdb.com/title/tt0086190/?ref_=adv_li_tt
Shutter Island,2010,8.1,John Lasseter,https://www.imdb.com/title/tt0114709/?ref_=adv_li_tt
The Thing,1982,8.1,John Lasseter,https://www.imdb.com/title/tt0114709/?ref_=adv_li_tt
The Bridge on the River Kwai,1957,8.1,Quentin Tarantino,https://www.imdb.com/title/tt0105236/?ref_=adv_li_tt
Gone with the Wind,1939,8.1,Quentin Tarantino,https://www.imdb.com/title/tt0105236/?ref_=adv_li_tt
Blade Runner,1982,8.1,Milos Forman,https://www.imdb.com/title/tt0086879/?ref_=adv_li_tt
The Third Man,1949,8.1,Milos Forman,https://www.imdb.com/title/tt0086879/?ref_=adv_li_tt
On the Waterfront,1954,8.1,Nitesh Tiwari,https://www.imdb.com/title/tt5074352/?ref_=adv_li_tt
Eskiya,1996,8.1,Nitesh Tiwari,https://www.imdb.com/title/tt5074352/?ref_=adv_li_tt
Smultronstället,1957,8.1,Quentin Tarantino,https://www.imdb.com/title/tt0361748/?ref_=adv_li_tt
Jurassic Park,1993,8.1,Quentin Tarantino,https://www.imdb.com/title/tt0361748/?ref_=adv_li_tt
Finding Nemo,2003,8.1,Gus Van Sant,https://www.imdb.com/title/tt0119217/?ref_=adv_li_tt
Gran Torino,2008,8.1,Gus Van Sant,https://www.imdb.com/title/tt0119217/?ref_=adv_li_tt
Fargo,1996,8.1,Fritz Lang,https://www.imdb.com/title/tt0022100/?ref_=adv_li_tt
Kill Bill: Vol. 1,2003,8.1,Fritz Lang,https://www.imdb.com/title/tt0022100/?ref_=adv_li_tt
The Deer Hunter,1978,8.1,Darren Aronofsky,https://www.imdb.com/title/tt0180093/?ref_=adv_li_tt
Tôkyô monogatari,1953,8.1,Darren Aronofsky,https://www.imdb.com/title/tt0180093/?ref_=adv_li_tt
Stalker,1979,8.1,Stanley Kubrick,https://www.imdb.com/title/tt0062622/?ref_=adv_li_tt
The Big Lebowski,1998,8.1,Stanley Kubrick,https://www.imdb.com/title/tt0062622/?ref_=adv_li_tt
The Truman Show,1998,8.1,Alfred Hitchcock,https://www.imdb.com/title/tt0052357/?ref_=adv_li_tt
Relatos salvajes,2014,8.1,Alfred Hitchcock,https://www.imdb.com/title/tt0052357/?ref_=adv_li_tt
Mary and Max,2009,8.1,Michel Gondry,https://www.imdb.com/title/tt0338013/?ref_=adv_li_tt
Hacksaw Ridge,2016,8.1,Michel Gondry,https://www.imdb.com/title/tt0338013/?ref_=adv_li_tt
Gone Girl,2014,8.1,Orson Welles,https://www.imdb.com/title/tt0033467/?ref_=adv_li_tt
In the Name of the Father,1993,8.1,Orson Welles,https://www.imdb.com/title/tt0033467/?ref_=adv_li_tt
Sherlock Jr.,1924,8.1,Thomas Vinterberg,https://www.imdb.com/title/tt2106476/?ref_=adv_li_tt
The General,1926,8.1,Thomas Vinterberg,https://www.imdb.com/title/tt2106476/?ref_=adv_li_tt
How to Train Your Dragon,2010,8.1,Stanley Kubrick,https://www.imdb.com/title/tt0093058/?ref_=adv_li_tt
Mr. Smith Goes to Washington,1939,8.1,Stanley Kubrick,https://www.imdb.com/title/tt0093058/?ref_=adv_li_tt
The Grand Budapest Hotel,2014,8.1,Alfred Hitchcock,https://www.imdb.com/title/tt0053125/?ref_=adv_li_tt
Salinui chueok,2003,8.1,Alfred Hitchcock,https://www.imdb.com/title/tt0053125/?ref_=adv_li_tt
Persona,1966,8.1,Stanley Kubrick,https://www.imdb.com/title/tt0066921/?ref_=adv_li_tt
Before Sunrise,1995,8.1,Stanley Kubrick,https://www.imdb.com/title/tt0066921/?ref_=adv_li_tt
Catch Me If You Can,2002,8.1,Guy Ritchie,https://www.imdb.com/title/tt0208092/?ref_=adv_li_tt
The Red Shoes,1948,8.1,Guy Ritchie,https://www.imdb.com/title/tt0208092/?ref_=adv_li_tt
Into the Wild,2007,8.1,Charles Chaplin (as Charlie Chaplin),https://www.imdb.com/title/tt0012349/?ref_=adv_li_tt
Le salaire de la peur,1953,8.1,Charles Chaplin (as Charlie Chaplin),https://www.imdb.com/title/tt0012349/?ref_=adv_li_tt
Cool Hand Luke,1967,8.1,Jean-Pierre Jeunet,https://www.imdb.com/title/tt0211915/?ref_=adv_li_tt
12 Years a Slave,2013,8.1,Jean-Pierre Jeunet,https://www.imdb.com/title/tt0211915/?ref_=adv_li_tt
Network,1976,8.1,Vittorio De Sica,https://www.imdb.com/title/tt0040522/?ref_=adv_li_tt
Prisoners,2013,8.1,Vittorio De Sica,https://www.imdb.com/title/tt0040522/?ref_=adv_li_tt
Life of Brian,1979,8.1,Brian De Palma,https://www.imdb.com/title/tt0086250/?ref_=adv_li_tt
